iter	RMSE
132	0.1138212203
133	0.1135608636
134	0.1133166164
135	0.1131135819
136	0.1128769662
137	0.1126080722
138	0.1123835961
139	0.1121786268
140	0.1119847144
141	0.1116824857
142	0.111479171
143	0.1113397299
144	0.1110956189
145	0.1109198639
146	0.110664291
147	0.1105237516
148	0.1103068225
149	0.1100346917
150	0.1097746722
151	0.109571082
152	0.1094479603
153	0.1092771547
154	0.1090509698
155	0.1088029894
156	0.1086152884
157	0.10840753
158	0.1081430143
159	0.1080804452
160	0.1078882907
161	0.1076936291
162	0.1075418311
163	0.1073350093
164	0.1070681507
165	0.1069107712
166	0.1067659359
167	0.1066051092
168	0.1064790519
169	0.1062304618
170	0.1060014471
171	0.1057941122
172	0.1056224391
173	0.1054221192
174	0.1053741878
175	0.1052059381
176	0.1049467887
177	0.1047818317
178	0.1046554991
179	0.1046034588
180	0.104582545
181	0.1044489129
182	0.1043874981
183	0.1042767006
184	0.1041120489
185	0.1040303862
186	0.1039433628
187	0.1038885196
188	0.1038205854
189	0.103740269
190	0.1036151772
191	0.1034042061
192	0.1033920083
193	0.1033602814
194	0.1033109699
195	0.1031712146
196	0.1031238185
197	0.1030919561
198	0.1029324857
199	0.1028276457
200	0.1026740835
201	0.1026202558
202	0.102421273
203	0.1022344428
204	0.1021256188
205	0.1020811653
206	0.1019238171
207	0.1017021881
208	0.1015429828
209	0.1014203935
210	0.1013513162
211	0.1012869419
212	0.1012301659
213	0.1011425356
214	0.1011012625
215	0.1009555648
216	0.100948092
217	0.1008078553
218	0.1006597582
219	0.100498226
220	0.1004029447
221	0.1002435698
222	0.10013231
223	0.1000245856
224	0.09982741996
225	0.09972581963
226	0.09970019837
227	0.09968809852
228	0.09952908627
229	0.09951521359
230	0.09938614926
231	0.09924709075
232	0.09906887549
233	0.09904942117
234	0.09896487694
235	0.09886756632
236	0.09885451899
237	0.09870964139
238	0.09856268364
239	0.09854725249
240	0.09850680684
241	0.09847402457
242	0.09841183308
243	0.09826003939
244	0.09815164009
245	0.09809287314
246	0.09805869875
247	0.09795120839
248	0.09782791791
249	0.09781316714
250	0.09769323099
251	0.09767899612
252	0.0975473455
253	0.09741385168
254	0.09733339197
255	0.09729257811
256	0.09717665617
257	0.09705593534
258	0.09687859118
259	0.0968516426
260	0.09675758324
261	0.09672588039
262	0.09669220444
263	0.09667187706
264	0.09664442538
265	0.09659807767
266	0.09647747759
267	0.09646495837
268	0.09641713647
269	0.09635628089
270	0.09617971042
271	0.09613152958
272	0.09606608143
273	0.09597360173
274	0.09585727327
275	0.09578747683
276	0.0957408943
277	0.09573377104
278	0.09566841229
279	0.09564302744
280	0.09554746876
281	0.09544122747
282	0.09542971758
283	0.09537595904
284	0.09527590027
285	0.09517597502
286	0.09513141379
287	0.09511533395
288	0.0950622653
289	0.0950528655
290	0.09500859698
291	0.09499387599
292	0.09489563255
293	0.09487484106
294	0.09484343254
295	0.09483548634
296	0.09471962391
297	0.09460036456
298	0.09456059712
299	0.09455384916
300	0.09451689404
301	0.09445614573
302	0.09438687429
303	0.09426396178
304	0.09417963827
305	0.09409935503
306	0.09408198572
307	0.09407096375
308	0.09391483804
309	0.09376215032
310	0.09364832913
311	0.09354861175
312	0.0934257027
313	0.09330259117
314	0.09314495496
315	0.09311321735
316	0.09301544855
317	0.09292591228
318	0.09288994425
319	0.09280400074
320	0.09277941322
321	0.09275523063
322	0.0927322643
323	0.09272442321
324	0.09259630883
325	0.0924374669
326	0.09233152085
327	0.09231467633
328	0.09226897528
329	0.09218678158
330	0.09217094877
331	0.09215574978
332	0.09212160383
333	0.09210004194
334	0.09208960391
335	0.09207345982
336	0.09206151889
337	0.0920449795
338	0.09201562944
339	0.09200137483
340	0.09190426819
341	0.09188986864
342	0.09187627831
343	0.09176140932
344	0.091740006
345	0.09161633039
346	0.0915578102
347	0.09154997893
348	0.09154323447
349	0.09146058188
350	0.09142052061
351	0.09141624146
352	0.09128411877
353	0.09119238317
354	0.09113261131
355	0.09111983166
356	0.09100598551
357	0.09099359173
358	0.09088257234
359	0.09087656694
360	0.09086437693
361	0.09085261091
362	0.09083950084
363	0.0908335255
364	0.09082982912
365	0.0906538019
366	0.09058990716
367	0.09057723711
368	0.09057022745
369	0.09055310902
370	0.0904886825
371	0.09046128052
372	0.09036915263
373	0.09026193548
374	0.09025181927
375	0.09024018639
376	0.09023330567
377	0.09022589659
378	0.09014876433
379	0.09013278261
380	0.09008436811
381	0.09007877731
382	0.09000353947
383	0.08999161723
384	0.08998207335
385	0.08997058568
386	0.08996250261
387	0.08995540823
388	0.08994261561
389	0.08984332652
390	0.08980388868
391	0.08970560991
392	0.08968877798
393	0.08967644063
394	0.08956413117
395	0.08948626301
396	0.08947772367
397	0.08937888064
398	0.089308948
399	0.08930371317
400	0.08929861316
401	0.08929364426
402	0.0892873209
403	0.0892782949
404	0.08927264325
405	0.08918920344
406	0.0891699297
407	0.08898958167
408	0.08897328606
409	0.08896712506
410	0.08883474393
411	0.08869367296
412	0.08868594778
413	0.08859417091
414	0.08843722533
415	0.08842180049
416	0.08841444605
417	0.0884048242
418	0.08828852404
419	0.08827809132
420	0.08822535616
421	0.08815852158
422	0.08815719208
423	0.08804558404
424	0.0880124513
425	0.08800742114
426	0.08799996289
427	0.08798815487
428	0.08798105305
429	0.08790529953
430	0.0879040494
431	0.08790283342
432	0.08789866415
433	0.08788775948
434	0.08787990695
435	0.0878719157
436	0.08785420382
437	0.08785008836
438	0.08784518825
439	0.0878440593
440	0.08782757071
441	0.08776113822
442	0.08771776993
443	0.08761910827
444	0.08761668712
445	0.08760677499
446	0.08759962433
447	0.08759325751
448	0.08756129906
449	0.08755726089
450	0.08755328815
451	0.08747092993
452	0.08740147804
453	0.08738911551
454	0.08727199983
455	0.08723971572
456	0.08719322381
457	0.08704612181
458	0.08704513897
459	0.08704168022
460	0.08703467278
461	0.08703088215
462	0.08700030076
463	0.08697223825
464	0.08696691742
465	0.08695672417
466	0.08694525057
467	0.08693509837
468	0.08692375596
469	0.08691840839
470	0.08679873383
471	0.08670719171
472	0.08665049937
473	0.08661311345
474	0.08660818689
475	0.08658088145
476	0.08656946798
477	0.08651225712
478	0.08642472431
479	0.08642096526
480	0.08639351328
481	0.08629669888
482	0.08628988092
483	0.08628049687
484	0.08619258947
485	0.08616191727
486	0.0861528644
487	0.08614613755
488	0.08614507278
489	0.08613558846
490	0.08607965041
491	0.08600200467
492	0.08599256384
493	0.08598755338
494	0.08589181145
495	0.08588645976
496	0.08587319175
497	0.08579117099
498	0.08575606706
499	0.08575075956
500	0.08574022048
501	0.08573201127
502	0.0857291996
503	0.08572037699
504	0.08571648794
505	0.08571310386
506	0.08564824513
507	0.08558964179
508	0.08556060046
509	0.08548018238
510	0.08547366224
511	0.08539869425
512	0.08534788575
513	0.08526462795
514	0.08517976635
515	0.0851697984
516	0.08516399366
517	0.08511401413
518	0.08511225657
519	0.0850326696
520	0.08503081504
521	0.08502404559
522	0.08498063438
523	0.08491440719
524	0.08488196341
525	0.08487340851
526	0.0848381407
527	0.08478648754
528	0.08469229875
529	0.08468798047
530	0.08467196888
531	0.08466954643
532	0.08466534344
533	0.08465894591
534	0.08465699204
535	0.0846223538
536	0.08450328226
537	0.08444015414
538	0.08443936591
539	0.08443288189
540	0.08442897573
541	0.08442397316
542	0.08440831201
543	0.08440756883
544	0.08440349611
545	0.08440089732
546	0.0843805176
547	0.08437675455
548	0.08426296671
549	0.08423725864
550	0.08423500939
551	0.08422769561
552	0.08422230627
553	0.08419979715
554	0.08419283844
555	0.08417079016
556	0.08405356314
557	0.08402990443
558	0.08402766611
559	0.08393629768
560	0.08385587823
561	0.08385229153
562	0.08384376554
563	0.0838370555
564	0.08375501437
565	0.08368323233
566	0.08364823977
567	0.08364319672
568	0.08364259124
569	0.08363694172
570	0.08362651655
571	0.08352925407
572	0.08349849973
573	0.0834559432
574	0.08345352967
575	0.08336084877
576	0.08335624595
577	0.08335567597
578	0.08327125131
579	0.08325137768
580	0.08324157255
581	0.0832325654
582	0.08322859991
583	0.08322725649
584	0.0831541049
585	0.08314697811
586	0.08314329284
587	0.08312866908
588	0.08312588083
589	0.0830618407
590	0.08302020993
591	0.08294588694
592	0.08293840535
593	0.08283909479
594	0.082762994
595	0.0827186856
596	0.08267566886
597	0.08262194757
598	0.08258425073
599	0.08254375026
600	0.08251538254
601	0.0825080869
602	0.0825033769
603	0.08246957717
604	0.08244699725
605	0.08243263429
606	0.08242354214
607	0.08241740385
608	0.08239645894
609	0.08232369979
610	0.08231622071
611	0.08231568589
612	0.08224716266
613	0.0822445938
614	0.08223870951
615	0.08216238915
616	0.08210313949
617	0.08206021628
618	0.08205805343
619	0.08195250806
620	0.08193604916
621	0.08191070389
622	0.08190771389
623	0.08184374951
624	0.08175287889
625	0.08170957616
626	0.08170382688
627	0.08161888811
628	0.08161603235
629	0.08154578276
630	0.08152144903
631	0.08151777802
632	0.08149433612
633	0.08144034766
634	0.081423362
635	0.08138631871
636	0.08136592222
637	0.08134040386
638	0.08128941312
639	0.08123306087
640	0.08119106237
641	0.0811655887
642	0.08109845047
643	0.08105917929
644	0.08101135397
645	0.08092356988
646	0.08092030438
647	0.08085276616
648	0.08079793721
649	0.08077821227
650	0.08076526432
651	0.08070248873
652	0.08067719366
653	0.08065144082
654	0.08061676804
655	0.08051709528
656	0.08048365674
657	0.08047815461
658	0.08047606252
659	0.08039454392
660	0.08036570338
661	0.08034045785
662	0.0802592895
663	0.0802558903
664	0.08018302697
665	0.08016413614
666	0.08016045523
667	0.08013117954
668	0.08002956042
669	0.08002483971
670	0.07992056859
671	0.0798468291
672	0.07984144036
673	0.07980935626
674	0.07979977368
675	0.0797218068
676	0.0796630176
677	0.07963891025
678	0.07963236269
679	0.07961204451
680	0.07959353168
681	0.07951018272
682	0.07950817455
683	0.0794797336
684	0.07944361921
685	0.07936445801
686	0.07935259942
687	0.07932616619
688	0.07930256692
689	0.07925215128
690	0.079165679
691	0.07915592606
692	0.07915100761
693	0.07913210953
694	0.07912930799
695	0.07912671411
696	0.07911720575
697	0.07906206321
698	0.07905593091
699	0.07898470828
700	0.07895325984
701	0.07890190145
702	0.07888067545
703	0.07887907459
704	0.07879583745
705	0.07872076814
706	0.07869185799
707	0.07868134128
708	0.07867922127
709	0.0786748208
710	0.07864658867
711	0.07854536289
712	0.0785430638
713	0.07850347457
714	0.07849881664
715	0.07840990813
716	0.07840855116
717	0.07837881087
718	0.07831978664
719	0.07829044461
720	0.0782440243
721	0.07811190546
722	0.07798918161
723	0.07788601434
724	0.07783336406
725	0.07782898013
726	0.07782590903
727	0.07768613268
728	0.07762454069
729	0.0774504684
730	0.07739343668
731	0.07738668448
732	0.0773164823
733	0.07731498691
734	0.07731307936
735	0.07731163336
736	0.07730402991
737	0.07722855025
738	0.07722514562
739	0.07722404514
740	0.07713700286
741	0.07710625554
742	0.07705523306
743	0.07705318403
744	0.07702670777
745	0.0769813865
746	0.07685168078
747	0.07678716455
748	0.07670360627
749	0.07666583107
750	0.07658936244
751	0.07645082539
752	0.07644957179
753	0.07635339552
754	0.07634973442
755	0.07632334546
756	0.07627256941
757	0.0762588452
758	0.07623886978
759	0.07622778251
760	0.07615761744
761	0.07610609984
762	0.07610210136
763	0.07607723549
764	0.07606073715
765	0.07603971768
766	0.07601137931
767	0.07600686722
768	0.07599467783
769	0.07599047312
770	0.07594477936
771	0.07589549087
772	0.07587959822
773	0.0758384174
774	0.07581284431
775	0.07580016412
776	0.07574196599
777	0.07573366277
778	0.07570688251
779	0.07563528565
780	0.07553028736
781	0.07545732981
782	0.07540848823
783	0.07537553659
784	0.07530644181
785	0.07523099843
786	0.07522669346
787	0.07510705763
788	0.07506687659
789	0.07505608453
790	0.07494410227
791	0.0749051344
792	0.07490126324
793	0.07482126096
794	0.07475540536
795	0.07473416692
796	0.07467153534
797	0.07466239436
798	0.07462510833
799	0.07462340103
800	0.07460046182
801	0.07456121051
802	0.07453000416
803	0.07448314694
804	0.07445431134
805	0.0744518997
806	0.07438488984
807	0.07433927258
808	0.07428137161
809	0.07427952669
810	0.07426131707
811	0.07421637544
812	0.07418500011
813	0.07408248273
814	0.0740786088
815	0.07406346645
816	0.07397643521
817	0.07394889639
818	0.07387722697
819	0.07386517983
820	0.07382848489
821	0.07377371739
822	0.073771253
823	0.07374151108
824	0.07373629601
825	0.07368278252
826	0.07360014904
827	0.07346978987
828	0.07342816822
829	0.07339024683
830	0.07330630112
831	0.07324011485
832	0.07321331294
833	0.07320895548
834	0.07316874448
835	0.07314595993
836	0.07308189564
837	0.07307247655
838	0.07304518683
839	0.07301393614
840	0.07300192843
841	0.07298576558
842	0.07289243657
843	0.07285350615
844	0.07279804129
845	0.07279061338
846	0.07277226459
847	0.072699797
848	0.07262514147
849	0.07258246037
850	0.07253220339
851	0.07246376775
852	0.07234922087
853	0.07229826052
854	0.07222431085
855	0.07215009226
856	0.07214202396
857	0.07213440495
858	0.07202915271
859	0.07202671937
860	0.07201155127
861	0.07201039137
862	0.07200893742
863	0.07199733242
864	0.07195548121
865	0.07191138943
866	0.07190583719
867	0.07188254513
868	0.07186625487
869	0.07185657926
870	0.07178354394
871	0.07177937975
872	0.07171761447
873	0.07170789733
874	0.07169959479
875	0.07164677922
876	0.07157383464
877	0.07154260652
878	0.07150767871
879	0.0714478628
880	0.07141121751
881	0.07139337826
882	0.07138214881
883	0.07137359185
884	0.07134589625
885	0.07131551606
886	0.07122810304
887	0.07118167061
888	0.07118055832
889	0.07113992296
890	0.07110369734
891	0.07110148003
892	0.07106326629
893	0.0710487152
894	0.07103720244
895	0.07101333551
896	0.07097148493
897	0.07096683818
898	0.0708707828
899	0.0708346207
900	0.07081078704
901	0.07077265068
902	0.07068011132
903	0.07064095374
904	0.07053427748
905	0.07052200638
906	0.07048142494
907	0.07046381368
908	0.07040254775
909	0.07032709436
910	0.07027997493
911	0.07023874791
912	0.07022442502
913	0.07017975841
914	0.07012822374
915	0.07010635106
916	0.07006563738
917	0.07006085382
918	0.07001067265
919	0.07000282214
920	0.06993615495
921	0.06986311309
922	0.06984717958
923	0.06980158546
924	0.06971583725
925	0.06971444688
926	0.06971094966
927	0.06966269744
928	0.06961168815
929	0.06952379625
930	0.06949412378
931	0.0694769599
932	0.06942188058
933	0.0693549653
934	0.06932225244
935	0.0693126633
936	0.06929187118
937	0.06923366533
938	0.06921539987
939	0.06920398253
940	0.06916240295
941	0.06906352024
942	0.06897678243
943	0.06896937999
944	0.06892229491
945	0.06889306406
946	0.06886876946
947	0.06879968624
948	0.0687416998
949	0.06873275034
950	0.06870114703
951	0.06867972722
952	0.0686750122
953	0.06867265205
954	0.06864598629
955	0.06858142032
956	0.06851549976
957	0.06848817694
958	0.06845890356
959	0.06843003221
960	0.06841350301
961	0.06836627144
962	0.06836499003
963	0.06836216094
964	0.06832884972
965	0.06830837764
966	0.06824219434
967	0.06821483717
968	0.06821018194
969	0.06818307972
970	0.06818076978
971	0.06812330387
972	0.06807169151
973	0.06806036459
974	0.06799592411
975	0.06792265933
976	0.06790365956
977	0.06784623658
978	0.06782122488
979	0.06776625554
980	0.06767644648
981	0.06766366767
982	0.06760802047
983	0.06759693249
984	0.06756370055
985	0.06753177593
986	0.06752857701
987	0.0675133764
988	0.06751137852
989	0.06748480322
990	0.06747538358
991	0.06746835932
992	0.06746372358
993	0.06744223624
994	0.06737376579
995	0.06737179116
996	0.06726923676
997	0.06724320333
998	0.06723808442
999	0.06721559111
1000	0.06718544787
1001	0.06717075916
1002	0.06716993017
1003	0.06711687142
1004	0.06703998085
1005	0.0670069381
1006	0.06692488295
1007	0.06686663585
1008	0.06686580805
1009	0.06683395187
1010	0.0667938186
1011	0.06676212304
1012	0.06670616657
1013	0.06670291008
1014	0.06668560765
1015	0.06667846909
1016	0.06667592033
1017	0.06661631183
1018	0.06659300726
1019	0.06652862133
1020	0.06651039406
1021	0.06649550996
1022	0.06643106483
1023	0.06638808111
1024	0.06635836099
1025	0.06635673576
1026	0.06634435213
1027	0.06627871621
1028	0.06626315736
1029	0.06623026177
1030	0.06621780296
1031	0.06615011324
1032	0.06612193774
1033	0.06611674253
1034	0.06607152376
1035	0.06602199463
1036	0.06597730716
1037	0.06593563373
1038	0.06588436953
1039	0.06588250771
1040	0.06586427308
1041	0.06581746824
1042	0.0657889126
1043	0.06576952795
1044	0.06574213435
1045	0.06566822701
1046	0.06565169548
1047	0.06559452292
1048	0.06551833515
1049	0.06551329044
1050	0.06550964542
1051	0.06550399102
1052	0.06548581913
1053	0.06548349951
1054	0.06544389213
1055	0.06544319048
1056	0.06535514966
1057	0.06534852887
1058	0.06534278676
1059	0.06534208316
1060	0.06534065792
1061	0.06529533385
1062	0.06526989556
1063	0.06523775089
1064	0.06520049988
1065	0.06512886257
1066	0.06507285398
1067	0.06504076171
1068	0.06503357845
1069	0.06498053064
1070	0.06496436371
1071	0.06492522288
1072	0.06492361465
1073	0.06488357647
1074	0.06479663408
1075	0.06478185949
1076	0.06474108881
1077	0.06472788646
1078	0.06472438154
1079	0.06471168534
1080	0.06466664722
1081	0.06462414987
1082	0.06456888176
1083	0.06450947096
1084	0.0644857374
1085	0.06446464618
1086	0.06443259986
1087	0.06436085332
1088	0.0643142621
1089	0.06429638103
1090	0.06429428948
1091	0.06428002432
1092	0.06423586012
1093	0.06419708658
1094	0.06414074133
1095	0.06412199937
1096	0.06405819814
1097	0.06401608715
1098	0.06396634709
1099	0.06395673211
1100	0.06392768346
1101	0.06391754008
1102	0.06390537502
1103	0.06384296811
1104	0.06381030107
1105	0.06379083708
1106	0.06378317151
1107	0.06377604268
1108	0.06373234728
1109	0.06368793728
1110	0.06364661255
1111	0.06360485327
1112	0.06360225006
1113	0.06355620641
1114	0.06352401721
1115	0.06347149763
1116	0.06344863901
1117	0.06339728484
1118	0.06334793945
1119	0.06328040162
1120	0.06326900949
1121	0.0632235852
1122	0.06315607971
1123	0.06315522941
1124	0.06312160882
1125	0.06309043321
1126	0.06302446412
1127	0.06300771593
1128	0.0629665597
1129	0.06296025576
1130	0.06294986244
1131	0.06292350281
1132	0.06292129489
1133	0.06290704729
1134	0.06289109959
1135	0.0628897179
1136	0.06284178895
1137	0.06279518626
1138	0.06275351113
1139	0.06270166733
1140	0.06267223475
1141	0.06267089943
1142	0.06262513045
1143	0.06259495819
1144	0.0625199793
1145	0.06249448674
1146	0.06249056797
1147	0.06240528747
1148	0.06235915656
1149	0.06233474318
1150	0.06229410924
1151	0.06227047139
1152	0.06221146548
1153	0.06220867817
1154	0.06217053811
1155	0.06212348541
1156	0.06209344397
1157	0.06206600238
1158	0.06199155814
1159	0.0619588469
1160	0.06193668395
1161	0.06191250808
1162	0.06186917265
1163	0.06183145751
1164	0.0618051921
1165	0.06176348929
1166	0.06175532277
1167	0.06172701205
1168	0.06172152475
1169	0.06171126134
1170	0.06166347984
1171	0.06160920882
1172	0.06155874142
1173	0.06154518047
1174	0.06153390517
1175	0.06151711906
1176	0.0614932863
1177	0.06144554714
1178	0.06142167553
1179	0.06141524408
1180	0.06141472211
1181	0.0613393411
1182	0.06133037943
1183	0.06126536348
1184	0.06120351316
1185	0.06117257049
1186	0.06113989968
1187	0.06107116497
1188	0.06100765401
1189	0.06093358525
1190	0.06086175485
1191	0.06083872768
1192	0.06080037817
1193	0.06079832692
1194	0.06075733861
1195	0.06072770741
1196	0.06069038507
1197	0.06066665965
1198	0.06062039287
1199	0.06059222818
1200	0.06057376533
1201	0.06054879835
1202	0.06051249455
1203	0.06048022294
1204	0.06047099427
1205	0.06043604841
1206	0.06040002388
1207	0.06035979464
1208	0.06033294133
1209	0.06030146041
1210	0.06025531349
1211	0.06023479991
1212	0.06019520377
1213	0.06017930915
1214	0.06016024617
1215	0.06011542024
1216	0.06004165656
1217	0.06000378251
1218	0.05999619388
1219	0.0599623683
1220	0.05995158637
1221	0.05991735712
1222	0.05989198393
1223	0.05986284726
1224	0.05984909223
1225	0.05979922458
1226	0.05979317314
1227	0.05975879883
1228	0.05974370113
1229	0.05973526678
1230	0.05968520513
1231	0.05965581628
1232	0.05960328376
1233	0.05956410929
1234	0.05952893715
1235	0.05950620138
1236	0.05946342891
1237	0.05938477902
1238	0.05934230831
1239	0.05931596644
1240	0.0593010246
1241	0.05923894481
1242	0.05923739948
1243	0.05919943857
1244	0.05916422675
1245	0.05914695772
1246	0.05912461346
1247	0.05908762517
1248	0.05907197967
1249	0.05904298177
1250	0.05904007061
1251	0.05900257639
1252	0.05897984859
1253	0.05894524394
1254	0.05893942095
1255	0.05887858868
1256	0.0588553021
1257	0.05882169919
1258	0.05879382243
1259	0.0587610859
1260	0.05869962513
1261	0.05866335943
1262	0.05864949438
1263	0.058637178
1264	0.05860836797
1265	0.05852244783
1266	0.05849902717
1267	0.05846612567
1268	0.05845994404
1269	0.05842323787
1270	0.05837820481
1271	0.05836751828
1272	0.0583628131
1273	0.05833356751
1274	0.05828426141
1275	0.05828259854
1276	0.05825997971
1277	0.05824763953
1278	0.05820701591
1279	0.05819069738
1280	0.05815642533
1281	0.05814001885
1282	0.05811036298
1283	0.05804633077
1284	0.05800421417
1285	0.05800236432
1286	0.05796648716
1287	0.05795850449
1288	0.05795661728
1289	0.05792349258
1290	0.05789723317
1291	0.05789350499
1292	0.05787028874
1293	0.05782801087
1294	0.05778714413
1295	0.05773620168
1296	0.05771084229
1297	0.05770944888
1298	0.05767793953
1299	0.05762766383
1300	0.05760152632
1301	0.05755938428
1302	0.05752133158
1303	0.05750297203
1304	0.05746206347
1305	0.05745641869
1306	0.05741495438
1307	0.05739780107
1308	0.05733919215
1309	0.05729861368
1310	0.05726281073
1311	0.05722195014
1312	0.05717876538
1313	0.0571633535
1314	0.05710971004
1315	0.05710541891
1316	0.05707958598
1317	0.0570558157
1318	0.05701895888
1319	0.05701577321
1320	0.05695632563
1321	0.05691579809
1322	0.05687428931
1323	0.0568549727
1324	0.05681079619
1325	0.0567847265
1326	0.05678399057
1327	0.05675285571
1328	0.05669987077
1329	0.05669391398
1330	0.05667369735
1331	0.05663453314
1332	0.05662104023
1333	0.05660989479
1334	0.05656439874
1335	0.05652455058
1336	0.05650132294
1337	0.05649796079
1338	0.05648524212
1339	0.05645449461
1340	0.05643263058
1341	0.05639344545
1342	0.05635240268
1343	0.05633801383
1344	0.05629242502
1345	0.05625816031
1346	0.05624882622
1347	0.05621828339
1348	0.05617740002
1349	0.05614125519
1350	0.05612883638
1351	0.05608210478
1352	0.0560391937
1353	0.05601659519
1354	0.0560050346
1355	0.05599198753
1356	0.05596361507
1357	0.05595601193
1358	0.05592700569
1359	0.05589364709
1360	0.05584775814
1361	0.05583115838
1362	0.05576636422
1363	0.05576465825
1364	0.05571782853
1365	0.05570068048
1366	0.05568587182
1367	0.05566607506
1368	0.05562845939
1369	0.05557545385
1370	0.05556164407
1371	0.05553932804
1372	0.05547859833
1373	0.05543689999
1374	0.0554259329
1375	0.05536506572
1376	0.05534761041
1377	0.05533438321
1378	0.05529148323
1379	0.0552773625
1380	0.05526892168
1381	0.05524257204
1382	0.05519300744
1383	0.05515784788
1384	0.05511508482
1385	0.05508544687
1386	0.05507151527
1387	0.05506947748
1388	0.05506065368
1389	0.05501693159
1390	0.05498729368
1391	0.0549518795
1392	0.05491633985
1393	0.05488032461
1394	0.05487881489
1395	0.05487683205
1396	0.05484364505
1397	0.05483664902
1398	0.05480952918
1399	0.05480161844
1400	0.05476725772
1401	0.0547444946
1402	0.05470745378
1403	0.05468100624
1404	0.05465471582
1405	0.05461375137
1406	0.05461198873
1407	0.05461098813
1408	0.05459145986
1409	0.05457654362
1410	0.05455070536
1411	0.05454854111
1412	0.05453649886
1413	0.05450350141
1414	0.05448947973
1415	0.05448766163
1416	0.05447405891
1417	0.05444425804
1418	0.05440871752
1419	0.05437901209
1420	0.05434924101
1421	0.05431543893
1422	0.0543125928
1423	0.05428396771
1424	0.0542555254
1425	0.05424567191
1426	0.0542301259
1427	0.05417195583
1428	0.05414323847
1429	0.05409676364
1430	0.05407748852
1431	0.05404930065
1432	0.05397142066
1433	0.05396380624
1434	0.05396091994
1435	0.05393465148
1436	0.053928051
1437	0.05388411664
1438	0.05383517913
1439	0.05379493329
1440	0.05379406001
1441	0.05379189598
1442	0.05377880782
1443	0.05372409067
1444	0.05372181469
1445	0.05369889615
1446	0.05368187662
1447	0.05366890607
1448	0.05363862162
1449	0.05362163593
1450	0.0536133583
1451	0.0536030209
1452	0.05359967468
1453	0.05358295309
1454	0.05356479421
1455	0.05353746262
1456	0.05346793257
1457	0.05342783476
1458	0.0534120986
1459	0.05338437667
1460	0.05336476809
1461	0.05332031869
1462	0.05331104688
1463	0.0532744783
1464	0.05324187629
1465	0.05319448503
1466	0.05316572117
1467	0.05313560701
1468	0.05312803577
1469	0.05311268869
1470	0.05309355389
1471	0.05305540441
1472	0.05301485373
1473	0.05299030881
1474	0.05292475303
1475	0.0529218978
1476	0.05290114013
1477	0.05287241101
1478	0.05285257498
1479	0.05284312544
1480	0.05283465968
1481	0.05277896352
1482	0.05273209797
1483	0.05272811936
1484	0.05270035376
1485	0.05267997204
1486	0.05267923932
1487	0.05264495038
1488	0.05263350671
1489	0.05259884254
1490	0.05256553224
1491	0.05253782208
1492	0.05251690752
1493	0.05250202621
1494	0.05244969129
1495	0.05242242338
1496	0.0524212685
1497	0.05235594708
1498	0.05230344616
1499	0.05228810985
1500	0.05225547572
